,visit_day,restaurant,shift_category,max_guests TW,capacity,full TW,max_guests LW,full LW,max_guests vs LW,max_guests vs LW %
65,2020-12-09,100 Wardour St,DINNER,42.0,242.0,0.17355371900826447,30.0,0.12396694214876033,12.0,0.3999999999999999
66,2020-12-09,14 Hills,LUNCH,53.0,110.0,0.4818181818181818,0.0,0.0,53.0,1.0
67,2020-12-09,14 Hills,DINNER,113.0,110.0,1.0272727272727273,37.0,0.33636363636363636,76.0,2.054054054054054
68,2020-12-09,20 Stories,LUNCH,0.0,106.0,0.0,0.0,0.0,0.0,0.0
69,2020-12-09,20 Stories,DINNER,0.0,106.0,0.0,0.0,0.0,0.0,0.0
70,2020-12-09,Angelica,LUNCH,0.0,47.0,0.0,0.0,0.0,0.0,0.0
71,2020-12-09,Angelica,DINNER,0.0,47.0,0.0,0.0,0.0,0.0,0.0
72,2020-12-09,Angler Restaurant,LUNCH,0.0,52.0,0.0,0.0,0.0,0.0,0.0
73,2020-12-09,Angler Restaurant,DINNER,22.0,52.0,0.4230769230769231,23.0,0.4423076923076923,-1.0,-0.04347826086956519
74,2020-12-09,Aster,LUNCH,6.0,52.0,0.11538461538461539,0.0,0.0,6.0,1.0
75,2020-12-09,Aster,DINNER,24.0,52.0,0.46153846153846156,4.0,0.07692307692307693,20.0,5.0
76,2020-12-09,Avenue,LUNCH,10.0,84.0,0.11904761904761904,0.0,0.0,10.0,1.0
77,2020-12-09,Avenue,DINNER,0.0,84.0,0.0,0.0,0.0,0.0,0.0
78,2020-12-09,Bluebird Chelsea Restaurant,LUNCH,55.0,139.0,0.39568345323741005,0.0,0.0,55.0,1.0
79,2020-12-09,Bluebird Chelsea Restaurant,DINNER,67.0,139.0,0.48201438848920863,25.0,0.17985611510791366,42.0,1.6800000000000002
80,2020-12-09,Bluebird White City,LUNCH,10.0,82.0,0.12195121951219512,0.0,0.0,10.0,1.0
81,2020-12-09,Bluebird White City,DINNER,7.0,82.0,0.08536585365853659,6.0,0.07317073170731707,1.0,0.16666666666666674
82,2020-12-09,Butlers Wharf Chophouse Restaurant,LUNCH,46.0,81.0,0.5679012345679012,0.0,0.0,46.0,1.0
83,2020-12-09,Butlers Wharf Chophouse Restaurant,DINNER,56.0,81.0,0.691358024691358,37.0,0.4567901234567901,19.0,0.5135135135135136
84,2020-12-09,Cantina del Ponte,LUNCH,25.0,44.0,0.5681818181818182,0.0,0.0,25.0,1.0
85,2020-12-09,Cantina del Ponte,DINNER,30.0,44.0,0.6818181818181818,14.0,0.3181818181818182,16.0,1.1428571428571428
86,2020-12-09,Coq d'Argent,LUNCH,122.0,72.0,1.6944444444444444,0.0,0.0,122.0,1.0
87,2020-12-09,Coq d'Argent,DINNER,144.0,72.0,2.0,93.0,1.2916666666666667,51.0,0.5483870967741935
88,2020-12-09,Crafthouse,LUNCH,0.0,72.0,0.0,0.0,0.0,0.0,0.0
89,2020-12-09,Crafthouse,DINNER,0.0,72.0,0.0,0.0,0.0,0.0,0.0
90,2020-12-09,East 59th,LUNCH,0.0,52.0,0.0,0.0,0.0,0.0,0.0
91,2020-12-09,East 59th,DINNER,0.0,52.0,0.0,0.0,0.0,0.0,0.0
92,2020-12-09,Fish Market,LUNCH,10.0,73.0,0.136986301369863,0.0,0.0,10.0,1.0
93,2020-12-09,Fish Market,DINNER,14.0,73.0,0.1917808219178082,4.0,0.0547945205479452,10.0,2.5
94,2020-12-09,Fiume,LUNCH,4.0,56.0,0.07142857142857142,0.0,0.0,4.0,1.0
95,2020-12-09,Fiume,DINNER,35.0,56.0,0.625,17.0,0.30357142857142855,18.0,1.0588235294117645
96,2020-12-09,German Gymnasium,LUNCH,256.0,99.0,2.585858585858586,0.0,0.0,256.0,1.0
97,2020-12-09,German Gymnasium,DINNER,250.0,99.0,2.525252525252525,132.0,1.3333333333333333,118.0,0.893939393939394
98,2020-12-09,Issho Restaurant,LUNCH,0.0,58.0,0.0,0.0,0.0,0.0,0.0
99,2020-12-09,Issho Restaurant,DINNER,0.0,58.0,0.0,0.0,0.0,0.0,0.0
