,Restaurant,Week,Day,This Week,Last Week,Last Year,vs. LW,vs. LW %,vs. LY,vs. LY %
79,14 Hills,Next Week,Monday,26.0,3.0,16.0,23.0,7.666666666666667,10.0,0.625
83,14 Hills,Next Week,Tuesday,6.0,6.0,-6.0,0.0,0.16666666666666666,12.0,-2.0
84,14 Hills,Next Week,Wednesday,26.0,6.0,10.0,20.0,3.3333333333333335,16.0,1.6
82,14 Hills,Next Week,Thursday,4.0,33.0,19.0,-29.0,-0.8787878787878788,-15.0,-0.7894736842105263
78,14 Hills,Next Week,Friday,20.0,2.0,9.0,18.0,9.0,11.0,1.2222222222222223
80,14 Hills,Next Week,Saturday,12.0,1.0,1.0,11.0,11.0,11.0,11.0
81,14 Hills,Next Week,Sunday,8.0,25.0,17.0,-17.0,-0.68,-9.0,-0.5294117647058824
12,14 Hills,Next Week,Full Week,102.0,76.0,66.0,26.0,0.34210526315789475,36.0,0.5454545454545454
105,14 Hills,Two Weeks,Monday,7.0,4.0,7.0,3.0,0.75,0.0,0.14285714285714285
109,14 Hills,Two Weeks,Tuesday,3.0,-4.0,5.0,7.0,-1.75,-2.0,-0.4
110,14 Hills,Two Weeks,Wednesday,6.0,14.0,0.0,-8.0,-0.5714285714285714,6.0,6.0
108,14 Hills,Two Weeks,Thursday,0.0,11.0,0.0,-11.0,-1.0,0.0,1.0
1199,14 Hills,Two Weeks,Friday,0.0,19.0,0.0,-19.0,-1.0,0.0,1.0
106,14 Hills,Two Weeks,Saturday,0.0,5.0,2.0,-5.0,-1.0,-2.0,-1.0
107,14 Hills,Two Weeks,Sunday,4.0,15.0,0.0,-11.0,-0.7333333333333333,4.0,4.0
17,14 Hills,Two Weeks,Full Week,20.0,64.0,14.0,-44.0,-0.6875,6.0,0.42857142857142855
99,14 Hills,Three Weeks,Monday,4.0,6.0,0.0,-2.0,-0.3333333333333333,4.0,4.0
103,14 Hills,Three Weeks,Tuesday,2.0,0.0,6.0,2.0,2.0,-4.0,-0.6666666666666666
104,14 Hills,Three Weeks,Wednesday,0.0,4.0,0.0,-4.0,-1.0,0.0,1.0
102,14 Hills,Three Weeks,Thursday,11.0,-4.0,0.0,15.0,-3.75,11.0,11.0
98,14 Hills,Three Weeks,Friday,0.0,0.0,-6.0,0.0,1.0,6.0,-1.0
100,14 Hills,Three Weeks,Saturday,3.0,4.0,3.0,-1.0,-0.25,0.0,0.3333333333333333
101,14 Hills,Three Weeks,Sunday,2.0,0.0,7.0,2.0,2.0,-5.0,-0.7142857142857143
16,14 Hills,Three Weeks,Full Week,22.0,10.0,10.0,12.0,1.2,12.0,1.2
