,Restaurant,Week,Day,This Week,Last Week,Last Year,vs. LW,vs. LW %,vs. LY,vs. LY %
1443,South Place Chop House,Six Weeks,Thursday,0.0,2.0,12.0,-2.0,-1.0,-12.0,-1.0
1121,South Place Chop House,Six Weeks,Friday,3.0,0.0,0.0,3.0,3.0,3.0,3.0
1442,South Place Chop House,Six Weeks,Saturday,0.0,16.0,0.0,-16.0,-1.0,0.0,1.0
263,South Place Chop House,Six Weeks,Full Week,3.0,20.0,22.0,-17.0,-0.85,-19.0,-0.8636363636363636
2063,South Place Chop House,Seven Weeks,Tuesday,0.0,0.0,2.0,0.0,1.0,-2.0,-1.0
2064,South Place Chop House,Seven Weeks,Wednesday,0.0,0.0,61.0,0.0,1.0,-61.0,-1.0
1441,South Place Chop House,Seven Weeks,Friday,0.0,3.0,8.0,-3.0,-1.0,-8.0,-1.0
2062,South Place Chop House,Seven Weeks,Saturday,0.0,0.0,3.0,0.0,1.0,-3.0,-1.0
262,South Place Chop House,Seven Weeks,Full Week,0.0,3.0,74.0,-3.0,-1.0,-74.0,-1.0
2052,South Place Chop House,Eight Weeks,Tuesday,0.0,0.0,5.0,0.0,1.0,-5.0,-1.0
2051,South Place Chop House,Eight Weeks,Thursday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2050,South Place Chop House,Eight Weeks,Friday,0.0,0.0,2.0,0.0,1.0,-2.0,-1.0
1109,South Place Chop House,Eight Weeks,Saturday,3.0,0.0,0.0,3.0,3.0,3.0,3.0
1110,South Place Chop House,Eight Weeks,Sunday,3.0,0.0,0.0,3.0,3.0,3.0,3.0
258,South Place Chop House,Eight Weeks,Full Week,6.0,0.0,7.0,6.0,6.0,-1.0,-0.14285714285714285
1150,The Modern Pantry,This Week,Tuesday,7.0,0.0,0.0,7.0,7.0,7.0,7.0
1151,The Modern Pantry,This Week,Wednesday,16.0,11.0,0.0,5.0,0.45454545454545453,16.0,16.0
1149,The Modern Pantry,This Week,Thursday,20.0,15.0,0.0,5.0,0.3333333333333333,20.0,20.0
1146,The Modern Pantry,This Week,Friday,46.0,30.0,0.0,16.0,0.5333333333333333,46.0,46.0
1147,The Modern Pantry,This Week,Saturday,83.0,72.0,0.0,11.0,0.1527777777777778,83.0,83.0
1148,The Modern Pantry,This Week,Sunday,46.0,34.0,0.0,12.0,0.35294117647058826,46.0,46.0
271,The Modern Pantry,This Week,Full Week,218.0,162.0,0.0,56.0,0.345679012345679,218.0,218.0
1144,The Modern Pantry,Next Week,Tuesday,3.0,2.0,0.0,1.0,0.5,3.0,3.0
1145,The Modern Pantry,Next Week,Wednesday,19.0,0.0,0.0,19.0,19.0,19.0,19.0
1143,The Modern Pantry,Next Week,Thursday,10.0,6.0,0.0,4.0,0.6666666666666666,10.0,10.0
1140,The Modern Pantry,Next Week,Friday,2.0,27.0,0.0,-25.0,-0.9259259259259259,2.0,2.0
1141,The Modern Pantry,Next Week,Saturday,13.0,33.0,0.0,-20.0,-0.6060606060606061,13.0,13.0
1142,The Modern Pantry,Next Week,Sunday,2.0,19.0,0.0,-17.0,-0.8947368421052632,2.0,2.0
270,The Modern Pantry,Next Week,Full Week,49.0,87.0,0.0,-38.0,-0.4367816091954023,49.0,49.0
1156,The Modern Pantry,Two Weeks,Tuesday,10.0,11.0,0.0,-1.0,-0.09090909090909091,10.0,10.0
1157,The Modern Pantry,Two Weeks,Wednesday,5.0,11.0,0.0,-6.0,-0.5454545454545454,5.0,5.0
1459,The Modern Pantry,Two Weeks,Thursday,0.0,10.0,0.0,-10.0,-1.0,0.0,1.0
1458,The Modern Pantry,Two Weeks,Friday,0.0,18.0,0.0,-18.0,-1.0,0.0,1.0
1154,The Modern Pantry,Two Weeks,Saturday,16.0,6.0,0.0,10.0,1.6666666666666667,16.0,16.0
1155,The Modern Pantry,Two Weeks,Sunday,5.0,2.0,0.0,3.0,1.5,5.0,5.0
273,The Modern Pantry,Two Weeks,Full Week,36.0,58.0,0.0,-22.0,-0.3793103448275862,36.0,36.0
1456,The Modern Pantry,Three Weeks,Tuesday,0.0,10.0,0.0,-10.0,-1.0,0.0,1.0
1457,The Modern Pantry,Three Weeks,Wednesday,0.0,5.0,0.0,-5.0,-1.0,0.0,1.0
1153,The Modern Pantry,Three Weeks,Thursday,12.0,0.0,0.0,12.0,12.0,12.0,12.0
1152,The Modern Pantry,Three Weeks,Friday,2.0,0.0,0.0,2.0,2.0,2.0,2.0
1454,The Modern Pantry,Three Weeks,Saturday,0.0,10.0,0.0,-10.0,-1.0,0.0,1.0
1455,The Modern Pantry,Three Weeks,Sunday,0.0,5.0,0.0,-5.0,-1.0,0.0,1.0
272,The Modern Pantry,Three Weeks,Full Week,14.0,30.0,0.0,-16.0,-0.5333333333333333,14.0,14.0
1453,The Modern Pantry,Four Weeks,Thursday,0.0,3.0,0.0,-3.0,-1.0,0.0,1.0
1452,The Modern Pantry,Four Weeks,Friday,0.0,2.0,0.0,-2.0,-1.0,0.0,1.0
1139,The Modern Pantry,Four Weeks,Sunday,2.0,0.0,0.0,2.0,2.0,2.0,2.0
269,The Modern Pantry,Four Weeks,Full Week,2.0,5.0,0.0,-3.0,-0.6,2.0,2.0
1138,The Modern Pantry,Five Weeks,Saturday,6.0,0.0,0.0,6.0,6.0,6.0,6.0
1451,The Modern Pantry,Five Weeks,Sunday,0.0,2.0,0.0,-2.0,-1.0,0.0,1.0
268,The Modern Pantry,Five Weeks,Full Week,6.0,2.0,0.0,4.0,2.0,6.0,6.0
1137,The Modern Pantry,Eight Weeks,Friday,2.0,0.0,0.0,2.0,2.0,2.0,2.0
267,The Modern Pantry,Eight Weeks,Full Week,2.0,0.0,0.0,2.0,2.0,2.0,2.0
